"Title","DIM: LA dividend receipts - seasonally adjusted"
"CDID","FDFS"
"Source dataset ID","UKEA"
"PreUnit",""
"Unit",""
"Release date","29-09-2023"
"Next release","22 December 2023"
"Important notes",
"1987","2076"
"1988","833"
"1989","700"
"1990","1172"
"1991","1763"
"1992","2110"
"1993","2304"
"1994","2401"
"1995","2462"
"1996","2923"
"1997","2920"
"1998","3213"
"1999","3063"
"2000","2847"
"2001","2247"
"2002","1461"
"2003","1103"
"2004","668"
"2005","740"
"2006","705"
"2007","674"
"2008","661"
"2009","834"
"2010","728"
"2011","978"
"2012","1266"
"2013","1363"
"2014","994"
"2015","975"
"2016","917"
"2017","902"
"2018","918"
"2019","843"
"2020","1059"
"2021","784"
"2022","808"
"1987 Q1","1456"
"1987 Q2","330"
"1987 Q3","179"
"1987 Q4","111"
"1988 Q1","106"
"1988 Q2","351"
"1988 Q3","216"
"1988 Q4","160"
"1989 Q1","113"
"1989 Q2","309"
"1989 Q3","141"
"1989 Q4","137"
"1990 Q1","144"
"1990 Q2","461"
"1990 Q3","301"
"1990 Q4","266"
"1991 Q1","149"
"1991 Q2","611"
"1991 Q3","554"
"1991 Q4","449"
"1992 Q1","98"
"1992 Q2","750"
"1992 Q3","656"
"1992 Q4","606"
"1993 Q1","111"
"1993 Q2","844"
"1993 Q3","722"
"1993 Q4","627"
"1994 Q1","120"
"1994 Q2","867"
"1994 Q3","729"
"1994 Q4","685"
"1995 Q1","128"
"1995 Q2","808"
"1995 Q3","763"
"1995 Q4","763"
"1996 Q1","287"
"1996 Q2","943"
"1996 Q3","848"
"1996 Q4","845"
"1997 Q1","338"
"1997 Q2","931"
"1997 Q3","776"
"1997 Q4","875"
"1998 Q1","642"
"1998 Q2","940"
"1998 Q3","782"
"1998 Q4","849"
"1999 Q1","624"
"1999 Q2","824"
"1999 Q3","862"
"1999 Q4","753"
"2000 Q1","602"
"2000 Q2","848"
"2000 Q3","740"
"2000 Q4","657"
"2001 Q1","431"
"2001 Q2","711"
"2001 Q3","609"
"2001 Q4","496"
"2002 Q1","66"
"2002 Q2","691"
"2002 Q3","532"
"2002 Q4","172"
"2003 Q1","-22"
"2003 Q2","590"
"2003 Q3","327"
"2003 Q4","208"
"2004 Q1","72"
"2004 Q2","329"
"2004 Q3","149"
"2004 Q4","118"
"2005 Q1","143"
"2005 Q2","325"
"2005 Q3","141"
"2005 Q4","131"
"2006 Q1","125"
"2006 Q2","327"
"2006 Q3","127"
"2006 Q4","126"
"2007 Q1","115"
"2007 Q2","323"
"2007 Q3","117"
"2007 Q4","119"
"2008 Q1","105"
"2008 Q2","256"
"2008 Q3","150"
"2008 Q4","150"
"2009 Q1","126"
"2009 Q2","459"
"2009 Q3","129"
"2009 Q4","120"
"2010 Q1","113"
"2010 Q2","362"
"2010 Q3","123"
"2010 Q4","130"
"2011 Q1","130"
"2011 Q2","484"
"2011 Q3","214"
"2011 Q4","150"
"2012 Q1","86"
"2012 Q2","621"
"2012 Q3","335"
"2012 Q4","224"
"2013 Q1","109"
"2013 Q2","642"
"2013 Q3","338"
"2013 Q4","274"
"2014 Q1","125"
"2014 Q2","598"
"2014 Q3","154"
"2014 Q4","117"
"2015 Q1","139"
"2015 Q2","542"
"2015 Q3","151"
"2015 Q4","143"
"2016 Q1","142"
"2016 Q2","470"
"2016 Q3","152"
"2016 Q4","153"
"2017 Q1","141"
"2017 Q2","427"
"2017 Q3","170"
"2017 Q4","164"
"2018 Q1","160"
"2018 Q2","381"
"2018 Q3","184"
"2018 Q4","193"
"2019 Q1","201"
"2019 Q2","215"
"2019 Q3","213"
"2019 Q4","214"
"2020 Q1","248"
"2020 Q2","422"
"2020 Q3","189"
"2020 Q4","200"
"2021 Q1","195"
"2021 Q2","184"
"2021 Q3","215"
"2021 Q4","190"
"2022 Q1","223"
"2022 Q2","190"
"2022 Q3","207"
"2022 Q4","188"
"2023 Q1","201"
"2023 Q2","206"
